grid_id,yearsdisturbed,land_ha,forestcover
69,31,164253.78,0.3825292787782418
70,31,144734.75999999998,0.3667579923440644
73,31,149560.74,0.6111954246816377
147,31,114168.15,0.7378858289286461
148,31,216532.97999999998,0.4840730497497425
149,31,214841.25,0.4076003560768707
150,31,202872.50999999998,0.41801148908740765
151,31,216535.13999999998,0.39069871061112765
152,31,216535.05,0.29994035607630265
153,31,189108.53999999998,0.46206845021382964
226,31,141961.32,0.5785888719546985
227,31,216091.53,0.6568037627388726
228,31,216535.22999999998,0.6832665058706613
229,31,216448.74,0.5218421229894893
230,31,216535.22999999998,0.2810635479501419
231,31,216535.22999999998,0.2281509110549817
232,31,216448.74,0.14774431119349551
233,31,216534.41999999998,0.1310170918785106
234,31,119347.01999999999,0.3513383073997156
300,31,186853.5,0.6736083616309033
301,31,176868,0.6971432933034806
302,31,174098.52,0.7234179819564233
303,31,215921.97,0.6588079943879727
304,31,216448.65,0.5485082027538634
305,31,215750.25,0.7303694897224916
306,31,216535.13999999998,0.7601193044232913
307,31,216448.65,0.8947286573512933
308,31,216535.23,0.6412335766332342
309,31,216535.13999999998,0.23279034525296913
310,31,216448.65,0.2046224820529026
311,31,216518.49,0.1907371513629159
312,31,216528.84,0.2672141041350427
313,31,209735.09999999998,0.3104999592342913
381,31,216448.65,0.6361740301914566
382,31,216535.13999999998,0.6883346509023893
383,31,216509.75999999998,0.6645645443420195
384,31,216459.36,0.613425864328528
385,31,216535.13999999998,0.5915548395516774
386,31,216448.65,0.5644413582621097
387,31,216535.22999999998,0.5697403143128257
388,31,216535.13999999998,0.3404847822852217
389,31,216481.05,0.24105689620407886
390,31,216468.81,0.1325718471866686
391,31,216528.02999999997,0.15738775252331075
392,31,216528.47999999998,0.33284272812518706
393,31,216448.65,0.5443202348455396
394,31,191547.63,0.34481961483940055
460,31,216504.63,0.7006364713770786
461,31,216535.31999999998,0.5364010360988684
462,31,216448.74,0.5932566759224378
463,31,216525.24,0.528609182005756
464,31,216448.65,0.3588513026068769
465,31,216535.22999999998,0.23485928825531072
466,31,216528.3,0.18765062118900855
467,31,216455.66999999998,0.43806004250200514
468,31,216500.84999999998,0.09106883414083594
469,31,216535.22999999998,0.13271281536958213
470,31,216535.31999999998,0.07022096903174965
471,31,216448.74,0.11204098485396588
472,31,216535.22999999998,0.3089423831863296
473,31,216535.31999999998,0.36394094967971047
474,31,216285.75,0.2515118541096674
475,31,203127.12,0.058687141332974146
476,31,122575.23,0.18549914203709836
540,31,140536.35,0.7121763159495746
541,31,216448.74,0.6445276604520774
542,31,216535.13999999998,0.6727121057579847
543,31,216535.13999999998,0.6358779457228051
544,31,216438.3,0.453297267627772
545,31,216538.02,0.2162999827928601
546,31,216516.6,0.08302518144105347
547,31,216444.96,0.2691971205982343
548,31,216535.13999999998,0.25780005037519543
549,31,216535.13999999998,0.07152030843585018
550,31,216448.74,0.09107579004617906
551,31,216535.13999999998,0.09092390269773303
552,31,216535.13999999998,0.03980679533123354
553,31,216448.74,0.2719026223021672
554,31,216535.13999999998,0.07560976015255538
555,31,216535.13999999998,0.05630300929447295
556,31,216448.74,0.4672205992051513
600,31,123085.62,0.13933057330336396
601,31,131527.08,0.205861180830594
620,31,158553.44999999998,0.7471909315123701
621,31,216535.31999999998,0.7565811896183957
622,31,216448.65,0.6505450137942649
623,31,216531.36,0.5361149073279732
624,31,216462.15,0.3079182665422107
625,31,216507.15,0.03355579711801666
626,31,216535.13999999998,0.04228316013742619
627,31,216535.31999999998,0.46559859149075544
628,31,216448.65,0.1843163262972534
629,31,216535.13999999998,0.14175297367438838
630,31,216535.31999999998,0.055537359909690484
631,31,216448.65,0.05713881791362524
632,31,216535.13999999998,0.14462959684049434
633,31,216535.31999999998,0.18387138874156883
634,31,216448.65,0.02137393788318846
635,31,216535.13999999998,0.17105080496403496
680,31,171144.81,0.15710169651069172
681,31,216452.97,0.21960447112368106
